Question,Answer
مرحبا ,مرحبا بك
السلام عليكم ,و عليكم السلام و رحمه الله و بركاته
مرحبا ,اهلا و سهلا
كيفك,الحمدلله
ازيك,كويس الحمدلله
أهلا بيك,اهلا و سهلا
مرحبا ,مرحبا بك
صباح الخير,صباح النور
مساء الخير,مساء النور
صباح الورد,صباح الخير
صباح القشطة,صباح الخير
مع السلامة,الله يسلمك
شكرا ,عفوا 
كتر خيرك,عفوا 
مرسي ,عفوا 
آسف ,عفوا 
إن شاء الله,إن شاء الله
اين مكانك,8 شارع سابا باشا الاسكندريه
مكنكم فين ,8 شارع سابا باشا الاسكندريه
موقعكم فين ,8 شارع سابا باشا الاسكندريه
اوصلكم ازاي,8 شارع سابا باشا الاسكندريه
العنوان,8 شارع سابا باشا الاسكندريه
عنوان,8 شارع سابا باشا الاسكندريه
مواعيد العمل ,من التاسعه صباحا  و حتي العاشره مساءا
بتفتحوا امته ,من التاسعه صباحا  و حتي العاشره مساءا
شاغلين امته ,من التاسعه صباحا  و حتي العاشره مساءا
معاد العمل,من التاسعه صباحا  و حتي العاشره مساءا
كورسات ايه متاحه,"لدينا كرسات برمجه python, Java, C, C++"
كم سعر الكورس ,سعر الكورس 300 جنيه 
ساعات الكورس ,3 ساعات مرتان اسبوعيا
ليكم فروع تانيه,لا يا فندم 
